RA[deg],DEC[deg],Reff[arcsec],PetroMag_i,CLASS,z
194.43458,28.04306,2.0,17.91438102722168,1,0.021
194.435,28.05694,1.5,17.961715698242188,1,0.021
194.43875,28.31861,1.5,18.90999984741211,1,0.021
194.44458,28.21167,1.3,18.025094985961914,1,0.021
194.44458,28.42,1.1,16.52649688720703,1,0.021
194.44708,28.27028,1.5,17.875341415405273,1,0.021
194.4475,28.29861,2.0,18.025094985961914,1,0.021
194.44833,28.53083,1.1,16.52649688720703,1,0.021
194.4525,28.40556,1.3,17.875341415405273,1,0.021
194.46125,28.33306,1.0,15.55876350402832,1,0.021
194.4625,28.50806,1.3,17.00406265258789,1,0.021
194.46292,28.4625,3.5,18.13421058654785,1,0.021
194.465,27.82333,2.6,17.98651695251465,1,0.021
194.46542,28.47694,1.7,18.391639709472656,1,0.021
194.46667,28.3225,1.1,17.94029426574707,1,0.021
194.46792,27.70194,1.5,17.402372360229492,1,0.021
194.46958,28.01722,3.1,18.288816452026367,1,0.021
194.47,28.35167,1.2,17.630626678466797,1,0.021
194.47208,28.25611,1.0,17.063365936279297,1,0.021
194.4725,28.30444,1.0,17.37790870666504,1,0.021
194.47917,28.01917,1.9,17.85549545288086,1,0.021
194.48042,27.99111,2.5,18.261077880859375,1,0.021
194.4875,28.41194,1.3,18.170305252075195,1,0.021
194.49042,28.34,1.2,17.316444396972656,1,0.021
194.49375,28.00722,2.1,18.203981399536133,1,0.021
194.49583,28.33278,1.2,17.765003204345703,1,0.021
194.49792,28.2425,2.2,15.753445625305176,1,0.021
194.50167,28.3775,1.4,17.27253532409668,1,0.021
194.50333,27.82972,1.5,17.132884979248047,1,0.021
194.50417,27.8825,2.0,17.31999969482422,1,0.021
194.50417,28.05778,2.5,17.00308609008789,1,0.021
194.50417,27.77278,2.8,18.22747230529785,1,0.021
194.50708,28.35778,1.0,17.681041717529297,1,0.021
194.50875,28.44028,1.1,17.681041717529297,1,0.021
194.51083,28.52917,2.6,17.681041717529297,1,0.021
194.5125,28.49667,1.2,17.978076934814453,1,0.021
194.5125,27.75139,1.1,17.474720001220703,1,0.021
194.51333,28.46306,1.1,17.855287551879883,1,0.021
194.51375,28.52611,1.5,18.492759704589844,1,0.021
194.51417,27.80528,1.5,18.09995460510254,1,0.021
194.515,27.96528,1.8,18.09995460510254,1,0.021
194.51625,27.87972,2.0,16.0,1,0.021
194.51917,28.24167,2.2,17.544666290283203,1,0.021
194.52375,28.25111,4.9,18.05782699584961,1,0.021
194.52667,28.22861,0.9,17.00303840637207,1,0.021
194.5275,28.49389,1.9,19.09000015258789,1,0.021
194.52792,28.01972,2.6,18.154144287109375,1,0.021
194.53,28.47833,1.9,17.359580993652344,1,0.021
194.535,28.45167,1.9,18.110321044921875,1,0.021
194.54917,28.26472,0.9,19.469999313354492,1,0.021
194.54958,28.37361,1.1,19.25,1,0.021
194.55417,27.86083,1.4,18.530000686645508,1,0.021
194.56083,28.30306,1.0,17.763198852539062,1,0.021
194.56167,28.30167,1.1,15.43186092376709,1,0.021
194.56625,28.33667,1.2,16.589269638061523,1,0.021
194.56792,27.89222,0.8,14.144484519958496,1,0.021
194.56875,28.28333,1.1,14.144484519958496,1,0.021
194.56917,28.28222,0.9,18.403024673461914,1,0.021
194.57333,28.03667,1.1,17.942527770996094,1,0.021
194.57542,28.33139,1.3,17.591678619384766,1,0.021
194.5775,28.27,0.9,16.648813247680664,1,0.021
194.57833,27.7325,1.5,17.56009864807129,1,0.021
194.57833,28.21806,0.9,18.625537872314453,1,0.021
194.58083,27.73417,0.7,17.959999084472656,1,0.021
194.58125,27.94278,1.7,17.927013397216797,1,0.021
194.58208,27.78222,1.8,17.540817260742188,1,0.021
194.58292,27.70444,1.6,19.780000686645508,1,0.021
194.58458,28.31833,2.3,15.538854598999023,1,0.021
194.58542,28.37611,1.1,18.34950828552246,1,0.021
194.58625,27.96028,2.3,17.479307174682617,1,0.021
194.59,28.54056,1.8,17.896028518676758,1,0.021
194.59167,27.74028,1.4,18.989999771118164,1,0.021
194.59208,28.37472,1.0,17.654457092285156,1,0.021
194.59375,27.95833,1.6,18.260473251342773,1,0.021
194.59542,28.35389,1.1,17.654457092285156,1,0.021
194.59583,28.44389,1.4,18.260473251342773,1,0.021
194.6,28.31972,1.9,17.045730590820312,1,0.021
194.60125,28.34611,1.0,20.270000457763672,1,0.021
194.60333,28.41556,1.7,17.536178588867188,1,0.021
194.61292,28.23972,1.2,17.40831184387207,1,0.021
194.61292,27.98667,1.3,17.819082260131836,1,0.021
194.61375,27.82278,1.2,16.063440322875977,1,0.021
194.6175,28.52111,1.2,16.438549041748047,1,0.021
194.61792,28.51028,1.2,16.438549041748047,1,0.021
194.61833,27.94611,2.1,17.98628807067871,1,0.021
194.62,27.87083,1.3,16.95758628845215,1,0.021
194.62,27.75972,1.6,16.95981788635254,1,0.021
194.62458,28.39194,1.5,17.39017105102539,1,0.021
194.625,28.42833,2.3,18.719999313354492,1,0.021
194.62542,28.42639,3.9,18.719999313354492,1,0.021
194.62625,28.22917,1.5,18.158082962036133,1,0.021
194.63667,27.79833,1.5,18.01724624633789,1,0.021
194.63792,28.19222,1.9,18.205829620361328,1,0.021
194.63792,28.76222,1.2,17.729351043701172,1,0.021
194.63875,28.46833,2.3,20.020000457763672,1,0.021
194.63917,28.42667,1.1,17.46958351135254,1,0.021
194.64083,28.04833,1.8,17.76741600036621,1,0.021
194.64375,28.45694,1.5,18.479963302612305,1,0.021
194.64417,27.94444,2.1,19.110000610351562,1,0.021
194.64542,28.43417,1.2,19.049999237060547,1,0.021
194.64625,28.55306,1.1,15.345283508300781,1,0.021
194.64708,28.26944,0.9,25.11439323425293,1,0.021
194.64917,27.8025,1.4,19.260000228881836,1,0.021
194.65083,27.76722,2.1,19.260000228881836,1,0.021
194.65208,28.65806,1.5,19.010000228881836,1,0.021
194.65542,28.68833,1.3,19.020000457763672,1,0.021
194.65583,27.96806,2.4,18.3754825592041,1,0.021
194.65708,28.21722,0.9,16.465818405151367,1,0.021
194.65708,28.19194,2.0,18.492572784423828,1,0.021
194.66208,28.28222,1.1,14.863311767578125,1,0.021
194.66458,28.65194,1.1,18.499971389770508,1,0.021
194.66583,28.44056,1.1,17.855426788330078,1,0.021
194.6675,28.65139,1.0,17.690771102905273,1,0.021
194.66833,28.65056,1.4,16.782400131225586,1,0.021
194.66875,28.65194,1.3,16.575679779052734,1,0.021
194.66917,28.18472,1.6,17.81999969482422,1,0.021
194.67042,27.95278,1.6,18.15841293334961,1,0.021
194.67167,28.48639,1.1,17.27174186706543,1,0.021
194.67333,28.14639,1.3,17.86237144470215,1,0.021
194.6775,28.49167,1.1,17.066871643066406,1,0.021
194.67958,28.5175,1.4,18.01081085205078,1,0.021
194.68042,27.78944,1.2,18.33465576171875,1,0.021
194.68208,28.76639,1.6,18.197477340698242,1,0.021
194.68292,28.7025,1.3,16.453048706054688,1,0.021
194.68542,28.32083,1.1,17.969999313354492,1,0.021
194.68708,28.32417,1.6,18.130571365356445,1,0.021
194.68792,27.78417,1.3,17.60091781616211,1,0.021
194.68875,28.52528,3.1,19.229999542236328,1,0.021
194.69,28.6925,2.0,19.229999542236328,1,0.021
194.69125,27.78,1.5,17.721446990966797,1,0.021
194.69167,27.78222,2.2,17.367658615112305,1,0.021
194.69333,28.69361,2.8,19.280000686645508,1,0.021
194.69333,27.75639,1.4,16.943359375,1,0.021
194.69417,28.62361,1.7,15.84731388092041,1,0.021
194.69583,28.17694,2.0,17.722431182861328,1,0.021
194.69708,28.46194,2.0,17.81415557861328,1,0.021
194.69833,28.25583,2.0,17.722431182861328,1,0.021
194.69958,28.23333,1.3,17.81415557861328,1,0.021
194.7,28.60361,1.5,17.483718872070312,1,0.021
194.70042,28.35,1.4,17.979780197143555,1,0.021
194.70083,28.69028,0.9,17.235776901245117,1,0.021
